sample	cRegMap	Verhaak	lucgar
GSM187225	PN	Mesenchymal	MTC
GSM187226	MES	Mesenchymal	GPM
GSM187227	PN-L	Mesenchymal	MTC
GSM187228	NL	Proneural	MTC
GSM187229	PN	Classical	PPR
GSM187230	MES	Mesenchymal	GPM
GSM187231	CL-A	Classical	PPR
GSM187232	NL	Neural	MTC
GSM187233	CL-A	Classical	PPR
GSM187234	CL-A	Classical	PPR
GSM187235	MES	Mesenchymal	GPM
GSM187236	CL-B	Classical	MTC
GSM1410161	PN	Proneural	PPR
GSM1410162	MES	Mesenchymal	GPM
GSM1410163	PN	Classical	PPR
GSM1410164	CL-A	Classical	MTC
GSM1410165	NL	Proneural	NEU
GSM1410166	CL-B	Classical	MTC
GSM1410167	CL-A	Classical	PPR
GSM1410168	PN	Classical	PPR
GSM1410169	PN	Proneural	PPR
GSM1410170	CL-C	Classical	PPR
GSM1410171	MES	Classical	GPM
GSM1410172	PN	Proneural	MTC
GSM1410173	PN	Classical	PPR
GSM1410174	MES	Mesenchymal	GPM
GSM1410175	PN	Classical	NEU
GSM1410176	PN	Classical	PPR
GSM1410177	PN	Classical	MTC
GSM1410178	CL-A	Classical	PPR
GSM1410179	NL	Proneural	NEU
GSM1410180	MES	Mesenchymal	GPM
GSM1410181	CL-C	Classical	MTC
GSM1410182	CL-A	Classical	PPR
GSM1410183	NL	Mesenchymal	GPM
GSM1410184	PN	Proneural	PPR
GSM1410185	NL	Neural	NEU
GSM1410186	CL-C	Mesenchymal	GPM
GSM1410187	PN	Proneural	PPR
GSM1410188	NL	Neural	NEU
GSM1410189	PN-L	Proneural	GPM
GSM1410190	MES	Mesenchymal	GPM
GSM1410191	NL	Mesenchymal	GPM
GSM1410192	PN	Proneural	PPR
GSM1410193	MES	Classical	GPM
GSM1410194	CL-C	Classical	MTC
GSM1410195	PN	Proneural	NEU
GSM1410196	NL	Neural	NEU
GSM1410197	NL	Neural	NEU
GSM1410198	PN	Proneural	PPR
GSM1410199	MES	Mesenchymal	GPM
GSM1410200	MES	Mesenchymal	GPM
GSM1410201	CL-B	Proneural	MTC
GSM1410202	CL-B	Mesenchymal	GPM
GSM1410203	NL	Neural	NEU
GSM1410204	CL-C	Neural	PPR
GSM1410205	CL-A	Classical	PPR
GSM1410206	NL	Neural	NEU
GSM1410207	PN	Classical	PPR
GSM1410208	CL-C	Classical	PPR
GSM1410209	CL-B	Proneural	NEU
GSM1410210	PN	Classical	MTC
GSM1410211	CL-A	Classical	MTC
GSM1410212	CL-A	Classical	GPM
GSM1410213	CL-A	Classical	GPM
GSM1410214	PN	Proneural	PPR
GSM1410215	MES	Mesenchymal	GPM
GSM1410216	MES	Classical	GPM
GSM1410217	NL	Neural	MTC
GSM1410218	CL-A	Classical	MTC
GSM1410219	CL-A	Classical	MTC
GSM1410220	CL-A	Classical	MTC
GSM1410221	PN	Proneural	PPR
GSM1410222	CL-A	Classical	PPR
GSM1410223	CL-B	Classical	MTC
GSM1410224	CL-A	Classical	MTC
GSM1410225	NL	Proneural	NEU
GSM1410226	CL-A	Classical	PPR
GSM1410227	CL-A	Classical	GPM
GSM1410228	CL-A	Classical	PPR
GSM1410229	MES	Classical	PPR
GSM1410230	NL	Proneural	NEU
GSM1410231	PN	Proneural	PPR
GSM1410232	CL-A	Classical	MTC
GSM1410233	CL-A	Classical	GPM
GSM1410234	PN-L	Proneural	MTC
GSM1410235	CL-A	Classical	GPM
GSM1410236	NL	Neural	GPM
GSM1410237	MES	Mesenchymal	GPM
GSM1410238	MES	Classical	GPM
GSM1410239	CL-A	Classical	MTC
GSM1410240	PN-L	Proneural	MTC
GSM1410241	MES	Mesenchymal	GPM
GSM1410242	MES	Classical	GPM
GSM1410243	NL	Neural	NEU
GSM1410244	MES	Classical	GPM
GSM1410245	CL-A	Classical	PPR
GSM1410246	CL-C	Mesenchymal	GPM
GSM1410247	CL-A	Classical	MTC
GSM1410248	MES	Classical	MTC
GSM1410249	PN-L	Proneural	MTC
GSM1410250	CL-C	Neural	NEU
GSM1410251	MES	Mesenchymal	GPM
GSM1410252	CL-A	Classical	MTC
GSM1410253	MES	Classical	GPM
GSM1410254	PN	Proneural	MTC
GSM1410255	NL	Proneural	MTC
GSM1410256	CL-A	Classical	MTC
GSM1410257	NL	Mesenchymal	GPM
GSM1410258	CL-A	Classical	MTC
GSM1410259	MES	Neural	GPM
GSM1410260	MES	Mesenchymal	GPM
GSM1410261	CL-B	Mesenchymal	GPM
GSM1410262	MES	Mesenchymal	GPM
GSM1410263	NL	Neural	NEU
GSM1410264	NL	Proneural	NEU
GSM1410265	MES	Classical	GPM
GSM1299517	CL-C	Neural	PPR
GSM1299518	MES	Classical	PPR
GSM1299519	MES	Mesenchymal	GPM
GSM1299520	PN	Proneural	PPR
GSM1299521	NL	Neural	NEU
